,Unnamed: 0,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core,shell,formula,core_atomic_percent,core_pauling_electronegativity,shell_atomic_percent,shell,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function
55,57,0.2325581395,40,577,2,52,449.38,17.6,9.41,1,0,1,0,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.7705696203,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
56,58,0.2325581395,40,577,2,51.385,477.614,22.13,84.7,0,3.77,1,1,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.7705696203,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
57,59,0.2325581395,60,577,2,52.18,471.34,21.98,71.36,0,3.3,1,2,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.8022151899,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
58,60,0.2325581395,60,577,2,48.75,453.4,21.963,64.764,0,2.8,1,4,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.7869198312,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
59,61,0.2325581395,40,577,10,50.3,415,17.09,5,1,0,1,0,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.7705696203,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
60,62,0.2325581395,40,577,10,50.275,429,19.818,49.725,0,2.546,1,1,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.7705696203,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
61,63,0.2325581395,60,577,10,48.91,421.24,19.4,41.96,0,2.4,1,3,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.8022151899,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
62,64,0.2325581395,40,577,100,51,55.122,3.195,2.42,1,0,1,0,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.7705696203,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
63,65,0.2325581395,40,577,100,48.85,53.78,3.345,2.42,1,0.1,0,1,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.7705696203,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
64,66,0.2325581395,60,577,100,50.6,53,3.375,2.42,1,0.66,0,2,1,1,5.168554879,33.70824839,33.70824839,33.708246,3.788512,90,90,90,0.375,0.8022151899,76.15126994,1.00000002,TiO2,Fe2O3,TiO2/Fe2O3,"{'Ti': 33.33333333333333, 'O': 66.66666666666666}",280.6666667,"{'Fe': 40.0, 'O': 60.0}",279.6,533.3333333,144.3333333,680,188
