area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,core,shell,formula
0.15625,30,858,120,37,560,2.8,719,0,3.99,1,5,1,1.246753,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90,90,0.444444,-0.33,105.1879,1,263.5,275,700,235,685.7143,201.4286,3.055028,1.428571,10,2.897249,1.443376,11.54701,FeO,Fe3O4,FeO-Fe3O4
0.15625,30,858,2,54.8,767,22.313,329,0,9.188,1,5,1,1.750289,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90,90,0.444444,-0.33,105.1879,1,263.5,275,700,235,685.7143,201.4286,3.055028,1.428571,10,2.897249,1.443376,11.54701,FeO,Fe3O4,FeO-Fe3O4
0.05767,15,858,60,33,95.69,8.6,329.43,0,8.6,1,2.414,1,1,5.142692,74.87634,90,90,2.924839,90,90,120,0.444444,0.636935,110.006,1.708366,275,267.5,685.7143,201.4286,800,257.5,2.897249,1.443376,11.54701,2.859813,2.5,10,Fe3O4,NiO,Fe3O4-NiO
0.094488,15,860,60,44.89,145.18,8.16,145.18,1,8.16,0,1.214,1,1,2.924839,90,90,120,5.142692,74.87634,90,90,0.444444,0.683733,105.4331,1.176906,267.5,275,800,257.5,685.7143,201.4286,2.859813,2.5,10,2.897249,1.443376,11.54701,NiO,Fe3O4,NiO-Fe3O4
0.157895,50,778,2,1.4325,1300,0.052,1600,0,0.053,1,5,1,1,8.071366,90,90,90,5.388094,122.2099,142.6878,47.91918,0.25,0.906687,27.57275,1.419154,255.2,243,573.3333,125.3333,520,94,3.065795,2.073118,16.17611,3.403618,2.686808,19.49359,Fe4Bi2O9,FeBiO3,Bi2Fe4O9-BiFeO3
0.157895,50,837.4,2,19.42686,900,0.0365,1500,0,0.058,1,5,1,1,5.388094,122.2099,142.6878,47.91918,8.071366,90,90,90,0.25,0.898305,41.18263,0.628658,243,255.2,520,94,573.3333,125.3333,3.403618,2.686808,19.49359,3.065795,2.073118,16.17611,FeBiO3,Fe4Bi2O9,BiFeO3-Bi2Fe4O9
0.230769,50,712.6,2,3.0868,750,0.049,1650,1,0.061,1,5,1,1,5.388094,122.2099,142.6878,47.91918,8.071366,90,90,90,0.25,0.898305,35.04507,0.628658,243,255.2,520,94,573.3333,125.3333,3.403618,2.686808,19.49359,3.065795,2.073118,16.17611,FeBiO3,Fe4Bi2O9,BiFeO3-Bi2Fe4O9
0.232558,40,577,2,52,449.38,17.6,9.41,1,0,1,0,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,40,577,2,51.385,477.614,22.13,84.7,0,3.77,1,1,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.77057,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
0.232558,60,577,2,52.18,471.34,21.98,71.36,0,3.3,1,2,1,1,5.168555,33.70825,33.70825,33.70825,3.788512,90,90,90,0.375,0.802215,76.15127,1,280.6667,279.6,533.3333,144.3333,680,188,3.191218,1.767767,14.14214,2.820943,1.440876,12.24745,TiO2,Fe2O3,TiO2-Fe2O3
