link,id,space_group_core,space_group_shell,core,shell,h_range_max_koe,chemical formula,Tb,TN,Tc,c1,c2,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t
doi.org/10.3390/nano12030456,126,229,212,Fe1,Fe2O3,20,Fe-Fe2O3,110,948,985,Fe,Fe2O3,17.9,17.9,17.9,1,5,,,,140,0,0.926,1,2
doi.org/10.3390/nano12030456,127,229,212,Fe1,Fe2O3,20,Fe-Fe2O3,110,948,985,Fe,Fe2O3,23.3,23.3,23.3,1,5,20.862,1359.636,7.2,964.9,0,4.79,1,1.36
doi.org/10.1007/s10854-021-06343-1,128,62,0,La2Fe1Mn1O6,0,15,La2FeMnO6,236,,262,La2FeMnO6,0,,,,1,15,7.538,933.92,0.78,932,0,0.01,0,0.1
doi.org/10.1007/s10854-021-06343-1,129,62,0,La2Fe1Mn1O6,0,15,La2FeMnO6,236,,262,La2FeMnO6,0,,,,1,50,5.942,206,0.5365,865.6,0,0.0315,0,0.1
doi.org/10.1007/s10854-021-06343-1,130,62,0,La2Fe1Mn1O6,0,15,La2FeMnO6,236,,262,La2FeMnO6,0,,,,1,100,20.87,176.327,0.222,122.374,0,0.02,0,0.1
doi.org/10.1007/s10854-021-06343-1,131,62,0,La2Fe1Mn1O6,0,15,La2FeMnO6,236,,262,La2FeMnO6,0,,,,1,250,,919.3,,510.4,0,0.000875,1,0.1
doi.org/10.1007/s10854-021-06343-1,132,1,227,Fe1V1O4,Fe3O4,10,FeVO4-Fe3O4,50,40,858,FeVO4,Fe3O4,40,40,40,1,5,,107,,13,0,0.002,0,2
doi.org/10.1007/s11664-019-07083-z,133,1,227,Fe1V1O4,Fe3O4,10,FeVO4-Fe3O4,50,40,858,FeVO4,Fe3O4,40,40,40,1,5,,450,,78,0,0.00626,0,2
doi.org/10.1007/s10948-017-4218-y,134,221,0,La1Fe1O3,0,20,LaFeO3,30,740,730,LaFeO3,0,44,44,44,1,300,0.0025,5250,0.00091,650,0,0,1,0
doi.org/10.1007/s10948-017-4218-y,135,221,0,La1Fe1O3,0,20,LaFeO3,30,740,730,LaFeO3,0,49,49,49,1,300,0.0035,4750,0.000363,254,0,0,1,0
doi.org/10.1007/s10948-017-4218-y,136,221,0,La1Fe1O3,0,20,LaFeO3,30,740,730,LaFeO3,0,64,64,64,1,300,0.0035,1750,0.000227,250,0,0,1,0
doi.org/10.1007/s10948-017-4218-y,137,221,0,La1Fe1O3,0,20,LaFeO3,30,740,730,LaFeO3,0,44,44,44,1,10,,1000,,2275,0,35,1,8
