,c1,c2,c3,chemical_formula,coer_oe,crystal_structure,depth_nm,exc_bias_oe,fc_field_t,h_range_max_koe,id,length_d_nm,mr (emu/g),sat_em_g,shape,space_group_core,space_group_shell,structure,structure_,temperature_k,ver_shift_emu_g,width_nm,orig_c1,orig_c2,formula_combined
48,Fe1 Rh1,,,['FeRh'],604.83,cubic,200.0,-76.83,5.0,0.1,49,200.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,200.0,FeRh,,Fe1 Rh1
49,Mn1 O2,,,['MnO2'],145.0,tetragonal,0.0,-440.0,1.0,80.0,50,1000.0,0.022,6.9,wire,i4/m,0,MnO2,MnO2,5.0,0.07,20.0,MnO2,,Mn1 O2
50,Ag1,Fe3 O4,,"['Ag', 'Fe3O4']",1186.0,"cubic, cubic",65.0,-551.72,5.0,4.0,51,65.0,16.22,60.0,flower,fm-3m,fd-3m,Ag/Fe3O4,Ag/Fe3O4,5.0,,65.0,Ag,Fe3O4,Ag1 Fe3 O4
51,Ag1,Fe3 O4,,"['Ag', 'Fe3O4']",1186.0,"cubic, cubic",65.0,-551.72,1.0,4.0,52,65.0,16.22,60.0,flower,fm-3m,fd-3m,Ag/Fe3O4,Ag/Fe3O4,5.0,,65.0,Ag,Fe3O4,Ag1 Fe3 O4
52,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']",2095.77,"cubic, cubic",11.65,-96.767,5.0,4.0,53,11.65,247.96,384.57,sphere,im-3m,p4332,Fe/γ-Fe2O3,Fe/Fe2O3,5.0,111.36,11.65,Fe,Fe2O3,Fe1 Fe2 O3
53,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']",1812.0,"cubic, cubic",11.65,-1812.0,5.0,4.0,54,11.65,155.91,326.6,sphere,im-3m,p4332,Fe/γ-Fe2O3,Fe/Fe2O3,5.0,157.4,11.65,Fe,Fe2O3,Fe1 Fe2 O3
54,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']",7238.0,"cubic, cubic",11.65,-7238.0,5.0,4.0,55,11.65,117.337,326.6,sphere,im-3m,p4332,Fe/γ-Fe2O3,Fe/Fe2O3,5.0,117.0,11.65,Fe,Fe2O3,Fe1 Fe2 O3
55,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",,"cubic, cubic",,,0.0,30.0,56,19.2,5.14,35.0,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,300.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
56,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",,"cubic, cubic",,,0.0,30.0,57,19.2,8.954,41.0,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,300.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
57,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",,"cubic, cubic",,,0.0,30.0,58,19.2,10.8,53.0,egg,fm-3m,fd-3m,FeO/Fe3O4,FeO/Fe3O4,300.0,0.0,17.3,FeO,Fe3O4,Fe1 O1 Fe3 O4
