,volume,area,c1,c2,c3,chemical_formula,crystal_structure,z,id,space_group_shell,formula_combined,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,y,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,x,mass_ratio,sphericity,max/min,exc_dir,ver_s_dir
64,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",9,,65,227,Fe4 O5,628.5,0.0,0.0,30.0,19.2,13.33,54.8,1.0,225.0,2.0,0.0,17.299999999999997,65,1.00000028155478,1,1,1
65,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",9,,66,227,Fe4 O5,767.0,329.0,5.0,30.0,19.2,22.313,54.8,1.0,225.0,2.0,9.188,17.299999999999997,65,1.00000028155478,1,0,1
66,6502.662410133201,4523.108999220001,Ni1 O1,,,['NiO'],3,,67,0,Ni1 O1,87.01999999999998,0.0,0.0,15.0,34.4,2.6500000000000004,0.1799999999999997,6.0,225.0,300.0,0.0,10.97,69,0.37248421760344885,1,1,1
67,150532.42643999998,13684.766039999999,Fe3 O4,,,['Fe3O4'],3,33.0,68,0,Fe3 O4,22.40999999999985,0.0,0.0,15.0,33.0,1.6500000000000004,70.264,1.0,227.0,300.0,0.0,33.0,62,1.0000002815547797,1,1,1
68,589656.7657892649,34005.580495344,Fe3 O4,Ni1 O1,,"['Fe3O4', 'NiO']",2,52.02,69,227,Fe3 Ni1 O5,37.09000000000015,0.0,0.0,15.0,52.02,1.3499999999999996,31.33,1.0,225.0,300.0,0.0,52.02,49,1.00000028155478,1,1,1
69,134066.24060354166,12667.676277499999,Ni1 O1,Fe3 O4,,"['NiO', 'Fe3O4']",2,31.75,70,225,Fe3 Ni1 O5,100.28999999999996,0.0,0.0,15.0,31.75,2.16,40.03,1.0,227.0,300.0,0.0,31.75,49,1.00000028155478,1,1,1
70,589656.7657892649,34005.580495344,Fe3 O4,Ni1 O1,,"['Fe3O4', 'NiO']",2,52.02,71,227,Fe3 Ni1 O5,95.69000000000004,329.43,2.414,15.0,52.02,8.6,33.0,1.0,225.0,60.0,8.6,52.02,49,1.00000028155478,1,0,1
71,134066.24060354166,12667.676277499999,Ni1 O1,Fe3 O4,,"['NiO', 'Fe3O4']",2,31.75,72,225,Fe3 Ni1 O5,145.17999999999984,145.17999999999995,1.214,15.0,31.75,8.16,44.89,1.0,227.0,60.0,8.16,31.75,49,1.00000028155478,1,1,0
72,28730.887746666664,4536.45596,Fe4 Bi2 O9,Fe1 Bi1 O3,,"['Bi2Fe4O9', 'BiFeO3']",24,19.0,73,161,Fe5 Bi3 O12,1300.0,1600.0,5.0,50.0,19.0,0.0519999999999996,1.3126999999999924,1.0,55.0,2.0,0.0529999999999999,19.0,26,1.0000002815547797,1,0,1
73,9202.764306666666,2123.71484,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']",25,13.0,74,55,Fe5 Bi3 O12,1225.0,1825.0,5.0,50.0,13.000000000000009,0.0459999999999993,43.278,1.0,161.0,2.0,0.054,13.0,26,1.00000028155478,1,1,1
74,28730.887746666664,4536.45596,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']",25,19.0,75,55,Fe5 Bi3 O12,900.0,1500.0,5.0,50.0,19.0,0.0365000000000002,30.9963,1.0,161.0,2.0,0.058,19.0,26,1.0000002815547797,1,0,1
