,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,Unnamed: 0
108,0.25,30.0,250.0,150.0,2.599999999999966,6000.0,0.8000000000000007,79.0,0.0,0.005999999999999783,1.0,6.0,1.0,1.0,4.895443,115.7679,132.1502,62.33534,0.0,0.0,0.0,0.0,0.22000000000000003,0.847144,101.1223,0.672251,244.82,0.0,518.0,99.45999999999998,0.0,0.0,3.433639,2.701163,18.47389,0.0,-2.220446049250313e-16,0.0,108
109,0.03370799999999999,70.0,730.0,2.0,29.400000000000034,6088.8,1.0,149.24,0.0,0.0,1.0,0.20000000000000018,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.356,0.941406,138.3562,1.0,244.0,0.0,540.0,100.0,0.0,0.0,3.336378,3.103164,19.49359,0.0,-2.220446049250313e-16,0.0,109
110,0.03370799999999999,70.0,730.0,8.0,21.625999999999976,8899.679,1.6999999999999993,30.670000000000016,0.0,0.0,1.0,5.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.356,0.959459,138.3562,1.0,244.0,0.0,540.0,100.0,0.0,0.0,3.336378,3.103164,19.49359,0.0,-2.220446049250313e-16,0.0,110
111,0.03333300000000003,70.0,730.0,10.0,20.400000000000034,6342.6,2.5359999999999996,402.9,0.0,0.0,1.0,5.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.356,0.959459,138.3562,1.0,244.0,0.0,540.0,100.0,0.0,0.0,3.336378,3.103164,19.49359,0.0,-2.220446049250313e-16,0.0,111
112,0.238095,80.0,633.0,10.0,0.1150000000000091,761.0,0.012000000000002231,530.6,0.0,0.012399999999999967,1.0,3.01,1.0,1.0,2.459352,109.4691,109.4671,109.4596,2.993268,60.0,60.0,60.0,0.666667,0.719828,158.6059,1.000148,183.0,267.0,800.0,470.0,850.0,232.5,0.0,0.0,0.0,2.883895,2.941176,10.0,112
113,0.379747,80.0,695.4,10.0,0.3439999999999941,995.0,0.08200000000000074,906.4,0.0,0.012399999999999967,1.0,4.6,1.0,1.0,2.459352,109.4691,109.4671,109.4596,2.993268,60.0,60.0,60.0,0.666667,0.679167,174.241,1.000148,183.0,267.0,800.0,470.0,850.0,232.5,0.0,0.0,0.0,2.883895,2.941176,10.0,113
114,0.238095,80.0,673.0,100.0,8.548999999999978,91.0,0.038600000000000634,249.0,0.0,0.0,1.0,1.0,1.0,1.0,2.459352,109.4691,109.4671,109.4596,2.993268,60.0,60.0,60.0,0.666667,0.719828,168.6284,1.000148,183.0,267.0,800.0,470.0,850.0,232.5,0.0,0.0,0.0,2.883895,2.941176,10.0,114
115,0.379747,80.0,673.0,100.0,11.52600000000001,25.0,0.13199999999999967,93.99999999999997,0.0,0.0,1.0,0.0,1.0,1.0,2.459352,109.4691,109.4671,109.4596,2.993268,60.0,60.0,60.0,0.666667,0.679167,168.6284,1.000148,183.0,267.0,800.0,470.0,850.0,232.5,0.0,0.0,0.0,2.883895,2.941176,10.0,115
116,0.238095,80.0,850.0,5.0,5.5978000000000065,247.00000000000023,0.01929999999999943,1335.0,0.0,0.05733999999999995,1.0,5.5,1.0,1.0,2.459352,109.4691,109.4671,109.4596,2.993268,60.0,60.0,60.0,0.666667,0.719828,212.9779,1.000148,183.0,267.0,800.0,470.0,850.0,232.5,0.0,0.0,0.0,2.883895,2.941176,10.0,116
117,0.379747,80.0,850.0,5.0,5.5978000000000065,41.0,0.026999999999999247,1318.0,0.0,0.05733999999999995,1.0,5.5,1.0,1.0,2.459352,109.4691,109.4671,109.4596,2.993268,60.0,60.0,60.0,0.666667,0.679167,212.9779,1.000148,183.0,267.0,800.0,470.0,850.0,232.5,0.0,0.0,0.0,2.883895,2.941176,10.0,117
118,0.352941,40.0,948.0,30.0,58.59800000000001,115.00500000000011,0.015000000000000568,131.0,0.0,0.00026999999999999247,1.0,0.0,0.805996,1.0,3.788512,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.779894,187.6726,1.0,279.6,0.0,680.0,188.0,0.0,0.0,2.820943,1.440876,12.24745,0.0,-2.220446049250313e-16,0.0,118
